20171016-010700 7.944 100.000 3.104 31.250 3.750 1010 2.030 1.015 13.65
20171016-010800 7.944 100.000 3.146 26.280 4.167 1009 2.030 1.015 13.65
20171016-010900 8.010 100.000 4.792 26.260 6.667 1009 2.030 1.015 13.65
20171016-011000 7.911 100.000 3.250 21.170 4.583 1009 2.030 1.015 13.65
20171016-011100 7.944 100.000 3.854 24.590 5.000 1009 2.030 1.015 13.65
20171016-011200 7.944 100.000 3.667 22.550 5.000 1010 2.030 1.015 13.65
20171016-011300 7.843 100.000 3.396 27.140 5.000 1009 2.030 1.015 13.65
20171016-011400 7.944 100.000 3.396 20.540 5.417 1009 2.030 1.015 13.65
20171016-011500 7.944 100.000 4.354 18.930 5.417 1009 2.030 1.015 13.65
20171016-011600 7.944 100.000 3.688 22.660 5.833 1009 2.030 1.015 13.65
20171016-011700 7.911 100.000 3.979 24.090 5.417 1009 2.030 1.015 13.65
20171016-011800 7.843 100.000 4.104 30.220 6.667 1009 2.030 1.015 13.65
20171016-011900 7.911 100.000 4.813 23.500 5.833 1009 2.030 1.015 13.65
20171016-012000 7.775 100.000 4.167 31.080 5.833 1009 2.030 1.015 13.65
20171016-012100 7.911 100.000 3.396 35.060 5.000 1009 2.030 1.015 13.65
20171016-012200 7.809 100.000 3.479 27.510 4.583 1009 2.030 1.015 13.65
20171016-012300 7.877 100.000 3.458 25.260 5.000 1009 2.030 1.015 13.65
20171016-012400 7.911 100.000 3.021 25.460 3.750 1009 2.030 1.015 13.65
20171016-012500 7.911 100.000 3.021 25.490 4.167 1009 2.030 1.015 13.65
20171016-012600 7.911 100.000 4.313 21.510 6.250 1009 2.030 1.015 13.65
20171016-012700 7.877 100.000 3.854 17.920 6.667 1009 2.030 1.015 13.65
20171016-012800 7.911 100.000 3.104 18.510 4.583 1009 2.030 1.015 13.65
20171016-012900 7.911 100.000 3.396 23.860 5.417 1009 2.030 1.015 13.65
20171016-013000 7.877 100.000 4.896 24.490 7.083 1009 2.030 1.015 13.65
20171016-013100 7.843 100.000 3.438 20.370 5.833 1009 2.199 1.015 13.65
20171016-013200 7.809 100.000 3.813 15.980 5.417 1009 2.030 1.015 13.65
20171016-013300 7.877 100.000 3.729 23.350 5.833 1009 2.030 1.015 13.65
20171016-013400 7.809 100.000 4.083 22.510 5.000 1009 2.030 1.015 13.65
20171016-013500 7.775 100.000 4.188 21.050 5.417 1009 2.030 1.015 13.65
20171016-013600 7.809 100.000 3.542 24.260 4.583 1009 2.030 1.015 13.65
20171016-013700 7.911 100.000 3.292 23.280 5.417 1009 2.030 1.015 13.65
20171016-013800 7.843 100.000 3.938 23.870 5.417 1009 2.030 1.015 13.65
20171016-013900 7.843 100.000 4.396 19.240 5.833 1009 2.030 1.015 13.65
20171016-014000 7.741 100.000 4.042 26.640 6.250 1009 2.030 1.015 13.65
20171016-014100 7.809 100.000 3.563 21.110 5.417 1009 2.199 1.015 13.65
20171016-014200 7.775 100.000 3.917 32.220 5.833 1009 2.030 1.015 13.65
20171016-014300 7.877 100.000 3.938 19.960 5.833 1009 2.030 1.015 13.65
20171016-014400 7.775 100.000 4.292 23.770 6.667 1009 2.199 1.015 13.65
20171016-014500 7.843 100.000 3.563 18.730 5.000 1009 2.030 1.015 13.65
20171016-014600 7.809 100.000 3.729 20.520 5.833 1009 2.030 1.015 13.65
20171016-014700 7.809 100.000 3.583 22.990 5.417 1009 2.030 1.015 13.65
20171016-014800 7.809 100.000 4.000 24.980 5.417 1009 2.199 1.015 13.65
20171016-014900 7.809 100.000 3.625 23.400 4.583 1009 2.030 1.015 13.65
20171016-015000 7.843 100.000 4.125 23.570 5.833 1009 2.030 1.015 13.65
20171016-015100 7.843 100.000 4.104 21.310 5.833 1009 2.030 1.015 13.65
20171016-015200 7.708 100.000 4.021 20.430 6.667 1009 2.030 1.015 13.65
20171016-015300 7.775 100.000 3.875 26.470 5.417 1009 2.030 1.015 13.65
20171016-015400 7.809 100.000 3.417 19.930 5.833 1009 2.030 1.015 13.65
20171016-015500 7.843 100.000 3.521 19.070 5.000 1009 2.030 1.015 13.65
20171016-015600 7.843 100.000 3.354 22.170 5.000 1009 2.030 1.015 13.65
20171016-015700 7.843 100.000 3.958 25.660 6.250 1009 2.199 1.015 13.65
20171016-015800 7.843 100.000 3.542 25.690 4.583 1009 2.030 1.015 13.65
20171016-015900 7.809 100.000 4.792 34.880 7.500 1009 2.030 1.015 13.65
20171016-020000 7.809 100.000 3.229 28.940 5.000 1009 2.030 1.015 13.65
20171016-020100 7.843 100.000 3.979 38.230 5.833 1009 2.199 1.015 13.65
20171016-020200 7.741 100.000 3.583 27.960 5.417 1009 2.030 1.015 13.65
20171016-020300 7.809 100.000 3.354 35.290 4.583 1009 2.030 1.015 13.65
20171016-020400 7.741 100.000 3.271 31.740 5.000 1009 2.030 1.015 13.65
20171016-020500 7.775 100.000 3.979 24.140 6.250 1009 2.030 1.015 13.65
20171016-020600 7.775 100.000 3.708 29.110 5.000 1009 2.030 1.100 13.65
20171016-020700 7.809 100.000 3.521 28.060 5.000 1009 2.030 1.015 13.65
20171016-020800 7.741 100.000 3.167 31.330 4.583 1009 2.030 1.015 13.65
20171016-020900 7.809 100.000 3.458 22.400 5.000 1009 2.199 1.015 13.65
20171016-021000 7.741 100.000 3.583 31.000 5.417 1009 2.030 1.015 13.65
20171016-021100 7.775 100.000 3.333 34.450 5.000 1009 2.030 1.015 13.65
20171016-021200 7.775 100.000 3.521 39.300 5.833 1009 2.030 1.015 13.65
20171016-021300 7.775 100.000 3.542 41.300 5.000 1009 2.030 1.015 13.65
20171016-021400 7.775 100.000 3.229 27.810 5.417 1009 2.199 1.100 13.65
20171016-021500 7.775 100.000 3.792 22.760 6.250 1009 2.030 1.100 13.65
20171016-021600 7.843 100.000 3.146 20.110 4.167 1009 2.030 1.015 13.65
20171016-021700 7.809 100.000 3.708 32.180 5.000 1009 2.030 1.015 13.65
20171016-021800 7.810 100.000 2.875 27.220 4.167 1009 2.030 1.015 13.65
20171016-021900 7.877 100.000 3.604 22.530 5.000 1009 2.030 1.015 13.65
20171016-022000 7.776 100.000 3.333 35.860 4.583 1009 2.030 1.015 13.65
20171016-022100 7.776 100.000 3.417 31.930 5.833 1009 2.030 1.015 13.65
20171016-022200 7.742 100.000 3.729 22.560 5.000 1009 2.030 1.015 13.65
20171016-022300 7.809 100.000 5.042 22.690 6.667 1009 2.030 1.015 13.65
20171016-022400 7.708 100.000 3.438 26.860 5.417 1009 2.199 1.015 13.65
20171016-022500 7.776 100.000 3.667 30.550 5.833 1009 2.199 1.015 13.65
20171016-022600 7.742 100.000 3.583 30.640 5.417 1009 2.030 1.015 13.65
20171016-022700 7.742 100.000 3.833 21.490 5.417 1009 2.030 1.015 13.65
20171016-022800 7.708 100.000 3.813 19.800 5.000 1009 2.030 1.015 13.65
20171016-022900 7.775 100.000 4.021 19.720 5.000 1009 2.030 1.015 13.65
20171016-023000 7.742 100.000 3.417 19.520 5.000 1009 2.030 1.015 13.65
20171016-023100 7.843 100.000 3.479 29.840 5.417 1009 2.030 1.015 13.65
20171016-023200 7.843 100.000 3.292 24.320 4.583 1009 2.030 1.015 13.65
20171016-023300 7.775 100.000 3.604 20.950 5.000 1009 2.030 1.015 13.65
20171016-023400 7.809 100.000 3.625 25.770 5.000 1009 2.030 1.015 13.65
20171016-023500 7.775 100.000 3.521 21.910 4.583 1009 2.030 1.015 13.65
20171016-023600 7.775 100.000 2.792 21.280 3.750 1009 2.030 1.015 13.65
20171016-023700 7.843 100.000 3.021 28.880 4.167 1009 2.030 1.015 13.65
20171016-023800 7.742 100.000 3.625 32.090 5.000 1009 2.030 1.015 13.65
20171016-023900 7.843 100.000 4.292 26.110 6.667 1008 2.030 1.015 13.65
20171016-024000 7.809 100.000 4.021 24.700 5.833 1008 2.030 1.015 13.65
20171016-024100 7.843 100.000 3.229 23.540 4.167 1008 2.030 1.015 13.65
20171016-024200 7.775 100.000 4.313 23.140 6.250 1008 2.030 1.015 13.65
20171016-024300 7.775 100.000 3.938 19.900 6.667 1008 2.030 1.015 13.66
20171016-024400 7.742 100.000 5.125 28.920 7.083 1008 2.030 1.015 13.66
20171016-024500 7.742 100.000 4.708 23.960 6.667 1008 2.030 1.015 13.66
20171016-024600 7.742 100.000 3.313 26.030 4.583 1008 2.030 1.015 13.65
20171016-024700 7.775 100.000 3.604 21.990 5.833 1008 2.030 1.015 13.65
20171016-024800 7.775 100.000 4.750 27.150 5.833 1008 2.030 1.015 13.65
20171016-024900 7.674 100.000 3.979 24.210 5.417 1008 2.030 1.015 13.65
20171016-025000 7.640 100.000 4.083 21.260 5.833 1008 2.030 1.015 13.65
20171016-025100 7.742 100.000 4.583 22.430 6.250 1008 2.030 1.100 13.65
20171016-025200 7.674 100.000 3.438 21.200 5.000 1008 2.030 1.100 13.65
