20161204-062600 5.279 84.700 3.813 80.300 5.000 1020 1.692 1.015 13.75
20161204-062700 5.347 84.700 2.750 79.730 4.167 1020 1.692 1.015 13.75
20161204-062800 5.347 84.700 2.604 80.200 4.167 1020 1.777 1.015 13.75
20161204-062900 5.347 84.700 2.875 72.800 4.167 1020 1.777 1.015 13.75
20161204-063000 5.279 84.800 3.104 79.260 4.167 1020 1.946 1.015 13.75
20161204-063100 5.347 84.800 3.229 78.990 4.583 1020 1.777 1.015 13.75
20161204-063200 5.313 84.800 3.104 79.170 5.417 1020 1.861 1.015 13.75
20161204-063300 5.313 84.900 2.083 79.340 2.917 1020 1.692 1.015 13.75
20161204-063400 5.279 85.000 2.396 71.370 4.167 1020 1.946 1.015 13.75
20161204-063500 5.279 85.000 2.354 79.740 3.333 1020 1.777 1.015 13.75
20161204-063600 5.245 85.100 1.958 80.800 3.333 1020 1.777 1.015 13.75
20161204-063700 5.212 85.100 2.521 82.900 4.167 1020 1.777 1.015 13.75
20161204-063800 5.279 85.300 2.479 80.800 3.333 1020 1.777 1.015 13.75
20161204-063900 5.212 85.300 1.938 81.200 3.333 1020 1.861 1.015 13.75
20161204-064000 5.212 85.400 2.021 74.660 2.917 1020 1.861 1.015 13.75
20161204-064100 5.178 85.300 1.979 84.000 3.750 1020 1.777 1.015 13.75
20161204-064200 5.212 85.400 1.750 81.300 2.917 1020 1.777 1.015 13.75
20161204-064300 5.212 85.400 2.063 72.960 3.750 1020 1.861 1.015 13.75
20161204-064400 5.144 85.300 1.979 87.600 2.917 1020 1.946 1.015 13.75
20161204-064500 5.144 85.300 2.333 87.100 4.167 1020 1.777 1.015 13.75
20161204-064600 5.178 85.200 2.354 80.100 3.750 1020 1.692 1.015 13.75
20161204-064700 5.178 85.200 2.875 83.700 4.167 1020 1.777 1.015 13.75
20161204-064800 5.178 85.200 2.458 95.100 3.750 1020 1.777 1.015 13.75
20161204-064900 5.212 85.100 2.604 85.400 3.333 1020 1.861 1.015 13.76
20161204-065000 5.212 85.100 2.271 95.300 3.750 1020 2.030 1.015 13.75
20161204-065100 5.110 85.100 2.563 85.700 4.167 1020 1.861 1.015 13.76
20161204-065200 5.110 85.100 2.708 95.200 4.167 1020 1.692 1.015 13.75
20161204-065300 5.144 85.200 1.854 92.600 3.333 1020 1.946 1.015 13.76
20161204-065400 5.144 85.100 2.229 91.000 3.750 1020 1.692 1.015 13.76
20161204-065500 5.110 85.200 1.833 95.100 2.917 1020 2.030 1.015 13.75
20161204-065600 5.144 85.200 1.563 102.000 3.333 1020 1.946 1.015 13.75
20161204-065700 5.144 85.200 1.479 100.700 3.333 1020 1.861 1.015 13.76
20161204-065800 5.076 85.200 2.063 92.200 2.917 1020 1.861 1.015 13.76
20161204-065900 5.076 85.300 2.583 87.800 4.167 1020 2.030 1.015 13.76
20161204-070000 5.110 85.300 1.688 88.900 2.917 1020 1.946 1.015 13.76
20161204-070100 5.110 85.200 2.063 101.100 3.333 1020 1.946 1.015 13.76
20161204-070200 5.110 85.200 1.396 102.100 1.667 1020 1.861 1.015 13.76
20161204-070300 5.110 85.200 2.104 84.600 2.917 1020 1.861 1.015 13.76
20161204-070400 5.110 85.200 1.833 92.800 2.917 1020 1.692 1.100 13.76
20161204-070500 5.076 85.200 1.792 90.100 2.917 1020 1.861 1.015 13.76
20161204-070600 5.043 85.200 2.188 79.420 2.917 1020 1.946 1.015 13.76
20161204-070700 5.043 85.300 1.604 91.400 2.500 1020 2.030 1.015 13.76
20161204-070800 5.077 85.200 1.896 88.300 2.500 1020 1.946 1.015 13.76
20161204-070900 5.043 85.300 2.000 79.460 2.917 1020 2.031 1.015 13.76
20161204-071000 5.111 85.300 2.146 88.800 2.917 1020 1.861 1.015 13.76
20161204-071100 5.043 85.400 1.979 79.620 2.917 1020 1.861 1.015 13.76
20161204-071200 4.975 85.600 1.813 81.000 2.917 1020 1.861 1.015 13.75
