20161204-210821 5.9375 -60 44
20161204-211045 5.9375 -60 43
20161204-211308 5.9375 -60 43
20161204-211532 5.9375 -60 40
20161204-211755 5.9375 -60 41
20161204-212019 5.9375 -60 42
20161204-212242 5.9375 -60 42
20161204-212729 5.9375 -60 40
20161204-212953 5.9375 -60 41
20161204-213216 5.9375 -60 41
20161204-213439 5.9375 -61 46
20161204-213703 5.9375 -60 43
20161204-213926 5.9375 -60 43
20161204-214150 5.9375 -60 41
20161204-214648 5.9375 -60 44
20161204-214912 5.9375 -60 41
20161204-215410 6.0 -61 46
20161204-215634 5.9375 -60 39
20161204-220132 6.0 -61 44
20161204-220356 6.0 -61 45
20161204-220619 6.0 -56 44
20161204-220843 6.0 -61 44
20161204-221107 6.0 -61 43
20161204-221330 6.0 -61 44
20161204-221554 5.9375 -61 46
20161204-221817 6.0 -60 33
20161204-222041 6.0 -59 32
20161204-222304 6.0 -59 30
20161204-222527 6.0 -59 34
20161204-222751 6.0 -59 31
20161204-223014 6.0 -60 35
20161204-223238 6.0 -51 31
20161204-223513 6.0 -59 37
20161204-223736 6.0 -60 32
20161204-224000 6.0 -53 27
20161204-224235 6.0 -60 31
20161204-224502 6.0 -59 34
20161204-224725 6.0 -59 29
20161204-224949 6.0 -59 31
20161204-225212 6.0 -60 36
20161204-225436 6.0 -60 30
20161204-225659 6.0 -60 34
20161204-225922 6.0 -60 34
20161204-230146 6.0 -59 33
20161204-230409 6.0 -59 34
20161204-230633 6.0 -60 31
20161204-231120 6.0 -59 36
20161204-231343 6.0 -59 35
20161204-231607 6.0 -59 34
20161204-231830 6.0 -59 30
20161204-232054 6.0 -59 34
20161204-232317 6.0 -59 31
20161204-232541 6.0 -60 32
20161204-232804 6.0 -59 31
20161204-233028 6.0 -60 33
20161204-233251 6.0 -59 17
20161204-233515 6.0 -59 33
20161204-233738 6.0 -59 33
20161204-234001 6.0 -60 30
20161204-234225 6.0 -59 31
20161204-234448 6.0 -59 35
20161204-234712 6.0 -59 34
20161204-234935 6.0 -59 30
20161204-235159 6.0625 -60 34
20161204-235422 6.0 -59 32
20161204-235646 6.0 -60 43
20161204-235909 6.0625 -59 44
20161205-000133 6.0 -60 41
20161205-000356 6.0 -60 41
20161205-000619 6.0 -60 44
20161205-000843 6.0 -60 41
20161205-001106 6.0 -60 41
20161205-001330 6.0 -60 42
20161205-001553 6.0625 -60 44
20161205-001817 6.0 -60 41
20161205-002040 6.0625 -60 44
20161205-002303 6.0 -60 39
20161205-002527 6.0625 -60 39
20161205-002750 6.0625 -60 41
20161205-003014 6.0625 -60 38
20161205-003237 6.0625 -60 40
20161205-003500 6.0625 -60 41
20161205-003724 6.0625 -60 40
20161205-003947 6.0 -60 40
20161205-004211 6.0625 -59 39
20161205-004434 6.0625 -60 44
20161205-004658 6.0 -61 42
20161205-004921 6.0625 -60 42
20161205-005144 6.0625 -60 41
20161205-005408 6.0625 -60 42
20161205-005631 6.0625 -60 43
20161205-005855 6.0625 -60 41
20161205-010118 6.0625 -60 41
20161205-010342 6.0625 -60 40
20161205-010605 6.0 -61 42
20161205-010829 6.0625 -61 37
20161205-011052 6.0625 -60 39
20161205-011318 6.0625 -60 43
20161205-011541 6.0625 -60 40
20161205-012040 6.0625 -60 41
20161205-012303 6.0625 -60 43
20161205-012802 6.0625 -60 40
20161205-013025 6.0625 -60 43
20161205-013524 6.0625 -60 40
20161205-013747 6.0625 -60 45
20161205-014010 6.0625 -61 43
20161205-014234 6.0625 -60 40
20161205-014457 6.0625 -61 40
20161205-014721 6.0625 -60 45
20161205-014944 6.0625 -60 40
20161205-015208 6.0625 -60 40
20161205-015431 6.0625 -60 43
20161205-015654 6.0625 -60 40
20161205-015918 6.0625 -60 43
20161205-020141 6.0625 -60 42
20161205-020405 6.0625 -60 43
20161205-020628 6.0625 -60 44
20161205-020852 6.0625 -61 44
20161205-021350 6.0625 -61 43
20161205-021613 6.0625 -61 44
20161205-022112 6.0625 -61 45
20161205-022335 6.0625 -60 44
20161205-022558 6.0625 -60 41
20161205-022823 6.0625 -60 42
20161205-023046 6.0625 -60 45
20161205-023309 6.0625 -60 44
20161205-023533 6.0625 -61 26
20161205-023756 6.0625 -60 45
20161205-024020 6.0625 -60 44
20161205-024243 6.0625 -60 40
20161205-024506 6.0625 -60 42
20161205-024730 6.0625 -60 42
20161205-024953 6.0625 -60 45
20161205-025217 6.0625 -61 42
20161205-025440 6.0625 -61 44
20161205-025704 6.0625 -60 44
20161205-025927 6.0625 -60 46
20161205-030414 6.0625 -60 47
20161205-030637 6.0625 -61 43
20161205-030901 6.0625 -60 46
20161205-031124 6.0625 -60 45
20161205-031348 6.0625 -60 44
20161205-031611 6.0625 -60 43
20161205-031834 6.0625 -60 43
20161205-032058 6.0625 -60 41
20161205-032321 6.0625 -60 42
20161205-032808 6.0625 -60 41
20161205-033032 6.0625 -60 44
20161205-033255 6.0625 -59 43
20161205-033518 6.0625 -60 45
20161205-033742 6.0625 -60 43
20161205-034005 6.0625 -60 43
20161205-034229 6.0625 -60 43
20161205-034452 6.0625 -60 45
20161205-034716 6.0625 -60 44
20161205-034939 6.0625 -61 24
20161205-035203 6.0625 -60 45
20161205-035427 6.0625 -60 42
20161205-035651 6.0625 -60 42
20161205-035914 6.0625 -60 43
20161205-040138 6.0625 -60 43
20161205-040402 6.0625 -49 25
20161205-040638 6.0625 -60 40
20161205-040902 6.0625 -61 42
20161205-041349 6.0625 -61 46
20161205-041613 6.0625 -60 45
20161205-041836 6.0625 -60 45
20161205-042100 6.0625 -60 45
20161205-042323 6.0625 -60 46
20161205-042547 6.0625 -60 44
20161205-042810 6.0625 -60 39
20161205-043033 6.0625 -60 44
20161205-043257 6.0625 -60 44
20161205-043744 6.0625 -60 44
20161205-044007 6.0625 -60 42
20161205-044230 6.0625 -60 43
20161205-044454 6.0625 -60 43
20161205-044717 6.0625 -60 43
20161205-044941 6.0625 -60 39
