20161201-010000 0.0
20161201-020000 0.0
20161201-030000 0.0
20161201-040000 0.0
20161201-050000 0.0
20161201-060000 0.0
20161201-070000 0.0
20161201-080000 0.0
20161201-090000 0.0
20161201-100000 0.0
20161201-110000 0.0
20161201-120000 0.0
20161201-130000 0.2
20161201-140000 0.0
20161201-150000 0.0
20161201-160000 0.0
20161201-170000 0.0
20161201-180000 0.0
20161201-190000 0.0
20161201-200000 0.0
20161201-210000 0.0
20161201-220000 0.0
20161201-230000 0.0
20161202-000000 0.0
20161202-010000 0.0
20161202-020000 0.2
20161202-030000 0.0
20161202-040000 0.0
20161202-050000 0.0
20161202-060000 0.0
20161202-070000 0.0
20161202-080000 0.0
20161202-090000 0.0
20161202-100000 0.0
20161202-110000 0.0
20161202-120000 0.0
20161202-130000 0.0
20161202-140000 0.0
20161202-150000 0.0
20161202-160000 0.0
20161202-170000 0.0
20161202-180000 0.0
20161202-190000 0.0
20161202-200000 0.0
20161202-210000 0.0
20161202-220000 0.0
20161202-230000 0.0
20161203-000000 0.0
20161203-010000 0.0
20161203-020000 0.0
20161203-030000 0.0
20161203-040000 0.0
20161203-050000 0.0
20161203-060000 0.0
20161203-070000 0.0
20161203-080000 0.0
20161203-090000 0.0
20161203-100000 0.0
20161203-110000 0.0
20161203-120000 0.0
20161203-130000 0.0
20161203-140000 0.0
20161203-150000 0.0
20161203-160000 0.0
20161203-170000 0.0
20161203-180000 0.0
20161203-190000 0.0
20161203-200000 0.0
20161203-210000 0.0
20161203-220000 0.0
20161203-230000 0.0
20161204-000000 0.0
20161204-010000 0.0
20161204-020000 0.0
20161204-030000 0.0
20161204-040000 0.0
20161204-050000 0.0
20161204-060000 0.0
20161204-070000 0.0
20161204-080000 0.0
20161204-090000 0.0
20161204-100000 0.0
20161204-110000 0.0
20161204-120000 0.0
20161204-130000 0.0
20161204-140000 0.0
20161204-150000 0.0
20161204-160000 0.0
20161204-170000 0.0
20161204-180000 0.0
20161204-190000 0.0
20161204-200000 0.0
20161204-210000 0.0
20161204-220000 0.0
20161204-230000 0.0
20161205-000000 0.0
20161205-010000 0.0
20161205-020000 0.0
20161205-030000 0.0
20161205-040000 0.0
20161205-050000 0.0
20161205-060000 0.0
20161205-070000 0.0
20161205-080000 0.0
20161205-090000 0.0
20161205-100000 0.0
20161205-110000 0.0
20161205-120000 0.0
20161205-130000 0.0
20161205-140000 0.0
20161205-150000 0.0
20161205-160000 0.0
20161205-170000 0.0
20161205-180000 0.0
20161205-190000 0.0
20161205-200000 0.0
20161205-210000 0.0
20161205-220000 0.0
20161205-230000 0.0
20161206-000000 0.0
20161206-010000 0.0
20161206-020000 0.0
20161206-030000 0.0
20161206-040000 0.0
20161206-050000 0.0
20161206-060000 0.0
20161206-070000 0.0
20161206-080000 0.2
20161206-090000 0.0
20161206-100000 0.2
20161206-110000 0.6
20161206-120000 0.4
20161206-130000 0.4
20161206-140000 0.0
20161206-150000 0.0
20161206-160000 0.0
20161206-170000 0.0
20161206-180000 0.0
20161206-190000 0.0
20161206-200000 0.0
20161206-210000 0.0
20161206-220000 0.0
20161206-230000 0.0
20161207-000000 0.0
20161207-010000 0.0
20161207-020000 0.0
20161207-030000 0.0
20161207-040000 0.0
20161207-050000 0.0
20161207-060000 0.0
20161207-070000 0.0
20161207-080000 0.0
20161207-090000 1.0
20161207-100000 0.4
20161207-110000 0.0
20161207-120000 0.0
20161207-130000 0.0
20161207-140000 0.0
20161207-150000 0.0
20161207-160000 0.0
20161207-170000 0.0
20161207-180000 0.0
20161207-190000 0.0
20161207-200000 0.0
20161207-210000 0.0
20161207-220000 0.0
20161207-230000 0.0
20161208-000000 0.0
20161208-010000 0.0
20161208-020000 0.0
20161208-030000 0.0
20161208-040000 0.0
20161208-050000 0.0
20161208-060000 0.0
20161208-070000 0.0
20161208-080000 0.0
20161208-090000 0.4
20161208-100000 0.0
20161208-110000 0.0
20161208-120000 0.0
20161208-130000 0.0
20161208-140000 0.0
20161208-150000 0.0
20161208-160000 0.0
